iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_weak_aces_visits,hand_category_medium_pairs_visits,hand_category_suited_gappers_visits,hand_category_trash_visits,hand_category_premium_pairs_visits,hand_category_suited_broadway_visits,hand_category_suited_connectors_visits,hand_category_small_pairs_visits,hand_category_medium_aces_visits
1600,0.4657008647918701,7.325818300247192,1.0053457210319403,32.333333333333336,328,325,3,0,0,0,330,99.39,146.0,147.0,146.0,147.0,146.0,146.0,146.0,144.0,143.0,146.0,144.0
1700,0.4673738479614258,7.793192148208618,1.0547126072712647,32.333333333333336,328,322,6,0,0,0,330,99.39,156.0,155.0,154.0,156.0,156.0,154.0,154.0,152.0,155.0,155.0,154.0
1800,0.4387032985687256,8.231895446777344,1.097445073484503,32.333333333333336,328,318,10,0,0,0,330,99.39,165.0,164.0,165.0,165.0,164.0,162.0,164.0,164.0,162.0,162.0,164.0
1900,0.4806704521179199,8.712565898895264,1.137379067227568,32.333333333333336,328,312,16,0,0,0,330,99.39,174.0,174.0,172.0,174.0,174.0,170.0,173.0,173.0,173.0,171.0,173.0
2000,0.4390296936035156,9.15159559249878,1.2028451059031302,32.333333333333336,328,307,21,0,0,0,330,99.39,182.0,182.0,182.0,182.0,181.0,184.0,182.0,180.0,182.0,181.0,183.0
2100,0.47919225692749023,9.63078784942627,1.2444432334751365,32.333333333333336,329,306,23,0,0,0,330,99.7,191.0,190.0,194.0,193.0,189.0,192.0,190.0,190.0,192.0,189.0,191.0
2200,0.46427130699157715,10.095059156417847,1.2756947047457354,32.333333333333336,329,302,27,0,0,0,330,99.7,200.0,200.0,200.0,200.0,200.0,201.0,200.0,200.0,200.0,201.0,199.0
2300,0.45990943908691406,10.55496859550476,1.3024738395915543,32.333333333333336,329,298,31,0,0,0,330,99.7,211.0,209.0,207.0,209.0,210.0,209.0,209.0,210.0,210.0,211.0,206.0
2400,0.44698667526245117,11.001955270767212,1.3554211693200187,32.333333333333336,330,294,36,0,0,0,330,100.0,218.0,217.0,218.0,217.0,216.0,220.0,219.0,219.0,219.0,220.0,218.0
2500,0.47252893447875977,11.474484205245972,1.4271583664519265,32.333333333333336,330,284,46,0,0,0,330,100.0,228.0,226.0,227.0,228.0,226.0,229.0,228.0,227.0,228.0,228.0,226.0
