iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_suited_gappers_visits,hand_category_medium_pairs_visits,hand_category_suited_connectors_visits,hand_category_medium_aces_visits,hand_category_suited_broadway_visits,hand_category_weak_aces_visits,hand_category_premium_pairs_visits,hand_category_small_pairs_visits,hand_category_trash_visits
550,2.44686222076416,123.552170753479,0.3501768330090501,10.912989203778675,154,153,1,0,0,0,220,70.0,50,50,50,50,50,50,50,50,50,50,50.0
560,2.308027505874634,125.86019825935364,0.351153956476084,10.912989203778675,154,152,2,0,0,0,220,70.0,51,51,51,50,51,51,51,51,51,51,51.0
570,2.3131206035614014,128.17331886291504,0.3604225386929963,10.912989203778675,154,152,2,0,0,0,220,70.0,52,52,51,52,52,52,52,52,51,52,52.0
580,2.4333977699279785,130.60671663284302,0.3605690685304996,10.912989203778675,154,152,2,0,0,0,220,70.0,53,52,53,53,52,53,53,52,53,53,53.0
590,2.3483688831329346,132.95508551597595,0.36635842641144073,11.407726045883939,154,152,2,0,0,0,220,70.0,54,54,54,54,54,54,54,53,53,53,53.0
600,2.318678617477417,135.27376413345337,0.3653144698796946,11.407726045883939,154,152,2,0,0,0,220,70.0,54,54,54,55,55,55,54,55,55,54,55.0
610,2.2590038776397705,137.53276801109314,0.3680414516172747,11.407726045883939,154,152,2,0,0,0,220,70.0,56,56,55,55,55,55,55,55,56,56,56.0
620,2.248913288116455,139.7816812992096,0.3768126122275113,11.924392712550606,154,151,3,0,0,0,220,70.0,57,56,56,57,56,57,57,56,56,56,56.0
630,2.259429454803467,142.04111075401306,0.3777203343723479,11.924392712550606,154,151,3,0,0,0,220,70.0,57,57,58,57,58,58,57,57,57,57,57.0
640,2.2556800842285156,144.29679083824158,0.376145658896597,11.924392712550606,155,152,3,0,0,0,220,70.45,58,58,58,59,58,58,58,59,58,58,58.0
650,2.339925527572632,146.6367163658142,0.3784828148675634,11.924392712550606,155,152,3,0,0,0,220,70.45,59,59,59,59,59,59,59,59,59,60,59.0
660,2.3324203491210938,148.9691367149353,0.3864568272189202,11.924392712550606,155,151,4,0,0,0,220,70.45,60,60,60,60,60,60,60,60,60,60,60.0
670,2.3493449687957764,151.31848168373108,0.39518515828037126,14.099392712550607,155,151,4,0,0,0,220,70.45,61,61,60,61,61,61,61,61,61,61,61.0
680,2.3039751052856445,153.62245678901672,0.3967403013425429,14.099392712550607,155,151,4,0,0,0,220,70.45,62,62,62,62,62,62,62,61,61,62,62.0
