scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
trash|BTN|deep|medium|ultra_short|standard,trash,BTN,deep,medium,ultra_short,standard,2,0.0,0.0,0.5,0.5,0.0
offsuit_broadway|BB|ultra_short|medium|deep|opp_raise_mid,offsuit_broadway,BB,ultra_short,medium,deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
medium_pairs|BB|ultra_short|medium|deep|opp_raise_low,medium_pairs,BB,ultra_short,medium,deep,opp_raise_low,1,1.0,0.0,0.0,0.0,0.0
premium_pairs|BTN|deep|medium|ultra_short|standard,premium_pairs,BTN,deep,medium,ultra_short,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|ultra_short|medium|deep|opp_raise_mid,trash,BB,ultra_short,medium,deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|very_deep|low|very_deep|standard,trash,BTN,very_deep,low,very_deep,standard,14,0.0714,0.1429,0.3571,0.2143,0.2143
trash|BB|very_deep|low|very_deep|opp_check,trash,BB,very_deep,low,very_deep,opp_check,10,0.3,0.2,0.1,0.2,0.2
trash|BTN|very_deep|low|very_deep|opp_check,trash,BTN,very_deep,low,very_deep,opp_check,2,0.0,0.5,0.0,0.5,0.0
trash|BB|very_deep|low|very_deep|opp_raise_high,trash,BB,very_deep,low,very_deep,opp_raise_high,4,0.25,0.5,0.0,0.0,0.25
trash|BTN|very_deep|low|very_deep|opp_raise_high_3bet,trash,BTN,very_deep,low,very_deep,opp_raise_high_3bet,4,0.0,0.5,0.0,0.0,0.5
weak_aces|BTN|very_deep|low|very_deep|standard,weak_aces,BTN,very_deep,low,very_deep,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|low|very_deep|opp_raise_mid,trash,BB,very_deep,low,very_deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|low|very_deep|standard,offsuit_broadway,BTN,very_deep,low,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
medium_aces|BTN|very_deep|low|very_deep|standard,medium_aces,BTN,very_deep,low,very_deep,standard,1,0.0,1.0,0.0,0.0,0.0
trash|BB|very_deep|low|very_deep|opp_call_low,trash,BB,very_deep,low,very_deep,opp_call_low,1,1.0,0.0,0.0,0.0,0.0
trash|BB|very_deep|low|very_deep|opp_raise_high_3bet,trash,BB,very_deep,low,very_deep,opp_raise_high_3bet,3,1.0,0.0,0.0,0.0,0.0
suited_broadway|BTN|very_deep|low|very_deep|standard,suited_broadway,BTN,very_deep,low,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
suited_gappers|BTN|deep|low|very_deep|standard,suited_gappers,BTN,deep,low,very_deep,standard,1,0.0,0.0,1.0,0.0,0.0
trash|BB|very_deep|low|deep|opp_raise_low,trash,BB,very_deep,low,deep,opp_raise_low,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|low|deep|standard,trash,BTN,very_deep,low,deep,standard,24,0.25,0.2917,0.125,0.125,0.2083
trash|BB|deep|low|very_deep|opp_raise_low,trash,BB,deep,low,very_deep,opp_raise_low,13,0.1538,0.2308,0.1538,0.3846,0.0769
trash|BTN|deep|low|very_deep|standard,trash,BTN,deep,low,very_deep,standard,18,0.1111,0.4444,0.1111,0.2222,0.1111
premium_pairs|BB|deep|low|very_deep|opp_check,premium_pairs,BB,deep,low,very_deep,opp_check,4,0.0,0.25,0.25,0.5,0.0
trash|BTN|very_deep|low|deep|opp_raise_mid,trash,BTN,very_deep,low,deep,opp_raise_mid,3,0.0,0.6667,0.3333,0.0,0.0
trash|BTN|very_deep|low|deep|opp_raise_low_3bet,trash,BTN,very_deep,low,deep,opp_raise_low_3bet,2,0.0,0.5,0.0,0.0,0.5
trash|BB|deep|low|very_deep|opp_raise_high_3bet,trash,BB,deep,low,very_deep,opp_raise_high_3bet,1,0.0,0.0,0.0,1.0,0.0
premium_pairs|BTN|very_deep|medium|very_deep|standard,premium_pairs,BTN,very_deep,medium,very_deep,standard,1,0.0,0.0,0.0,0.0,1.0
premium_pairs|BB|very_deep|medium|very_deep|opp_raise_high,premium_pairs,BB,very_deep,medium,very_deep,opp_raise_high,1,1.0,0.0,0.0,0.0,0.0
suited_broadway|BTN|very_deep|medium|very_deep|standard,suited_broadway,BTN,very_deep,medium,very_deep,standard,1,0.0,0.0,0.0,1.0,0.0
suited_broadway|BTN|very_deep|medium|very_deep|opp_raise_mid_3bet,suited_broadway,BTN,very_deep,medium,very_deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
premium_aces|BTN|very_deep|medium|deep|standard,premium_aces,BTN,very_deep,medium,deep,standard,1,0.0,1.0,0.0,0.0,0.0
premium_aces|BTN|very_deep|medium|deep|opp_raise_mid,premium_aces,BTN,very_deep,medium,deep,opp_raise_mid,1,0.0,0.0,0.0,0.0,1.0
trash|BB|deep|medium|very_deep|opp_raise_high_3bet,trash,BB,deep,medium,very_deep,opp_raise_high_3bet,1,0.0,0.0,0.0,0.0,1.0
premium_pairs|BB|very_deep|medium|medium|opp_call_low,premium_pairs,BB,very_deep,medium,medium,opp_call_low,1,0.0,0.0,0.0,1.0,0.0
medium_aces|BTN|very_deep|medium|medium|standard,medium_aces,BTN,very_deep,medium,medium,standard,2,0.5,0.5,0.0,0.0,0.0
trash|BTN|very_deep|medium|medium|opp_raise_mid,trash,BTN,very_deep,medium,medium,opp_raise_mid,4,1.0,0.0,0.0,0.0,0.0
small_pairs|BTN|medium|medium|very_deep|standard,small_pairs,BTN,medium,medium,very_deep,standard,1,0.0,0.0,0.0,0.0,1.0
small_pairs|BTN|medium|medium|very_deep|opp_raise_high_3bet,small_pairs,BTN,medium,medium,very_deep,opp_raise_high_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|medium|opp_raise_mid_3bet,trash,BB,very_deep,medium,medium,opp_raise_mid_3bet,2,0.0,0.0,0.0,0.5,0.5
trash|BTN|very_deep|high|very_deep|standard,trash,BTN,very_deep,high,very_deep,standard,7,0.2857,0.2857,0.0,0.1429,0.2857
medium_aces|BB|very_deep|high|very_deep|opp_call_low,medium_aces,BB,very_deep,high,very_deep,opp_call_low,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|very_deep|high|very_deep|opp_raise_low,trash,BTN,very_deep,high,very_deep,opp_raise_low,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|high|very_deep|standard,offsuit_broadway,BTN,very_deep,high,very_deep,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|high|very_deep|opp_raise_mid,trash,BB,very_deep,high,very_deep,opp_raise_mid,2,0.5,0.5,0.0,0.0,0.0
premium_aces|BB|very_deep|high|very_deep|opp_call_low,premium_aces,BB,very_deep,high,very_deep,opp_call_low,1,1.0,0.0,0.0,0.0,0.0
trash|BB|very_deep|high|very_deep|opp_raise_high,trash,BB,very_deep,high,very_deep,opp_raise_high,2,0.5,0.0,0.0,0.0,0.5
trash|BTN|very_deep|high|very_deep|opp_raise_high_3bet,trash,BTN,very_deep,high,very_deep,opp_raise_high_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|high|very_deep|opp_raise_mid_3bet,trash,BB,very_deep,high,very_deep,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|deep|high|very_deep|standard,trash,BTN,deep,high,very_deep,standard,2,0.0,0.5,0.0,0.5,0.0
trash|BB|very_deep|high|deep|opp_raise_mid,trash,BB,very_deep,high,deep,opp_raise_mid,2,0.0,0.0,0.5,0.0,0.5
trash|BTN|deep|high|very_deep|opp_raise_low_3bet,trash,BTN,deep,high,very_deep,opp_raise_low_3bet,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BTN|deep|high|very_deep|standard,weak_aces,BTN,deep,high,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|high|deep|standard,trash,BTN,very_deep,high,deep,standard,2,0.0,0.5,0.0,0.0,0.5
trash|BB|deep|high|very_deep|opp_raise_high,trash,BB,deep,high,very_deep,opp_raise_high,2,0.0,0.5,0.0,0.0,0.5
